Län,Län_namn,Kommun,Kommun_namn,Ålder,Befolkning,Antal minst 1 dos,Antal färdigvaccinerade,Andel minst 1 dos,Andel färdigvaccinerade
01,Stockholm,0114,Upplands Väsby,18-29,6526,247,133,"0,037849","0,020380"
01,Stockholm,0114,Upplands Väsby,30-39,7140,382,236,"0,053501","0,033053"
01,Stockholm,0114,Upplands Väsby,40-49,6771,480,295,"0,070891","0,043568"
01,Stockholm,0114,Upplands Väsby,50-59,5994,621,370,"0,103604","0,061728"
01,Stockholm,0114,Upplands Väsby,60-69,4098,1884,269,"0,459736","0,065642"
01,Stockholm,0114,Upplands Väsby,70-79,3951,2781,392,"0,703872","0,099215"
01,Stockholm,0114,Upplands Väsby,80-89,1611,1428,872,"0,886406","0,541279"
01,Stockholm,0114,Upplands Väsby,90 eller äldre,271,248,196,"0,915129","0,723247"
01,Stockholm,0115,Vallentuna,18-29,4198,197,105,"0,046927","0,025012"
01,Stockholm,0115,Vallentuna,30-39,4197,259,117,"0,061711","0,027877"
01,Stockholm,0115,Vallentuna,40-49,5329,408,212,"0,076562","0,039782"
01,Stockholm,0115,Vallentuna,50-59,4714,504,254,"0,106916","0,053882"
01,Stockholm,0115,Vallentuna,60-69,3020,1339,192,"0,443377","0,063576"
01,Stockholm,0115,Vallentuna,70-79,2666,1957,172,"0,734059","0,064516"
01,Stockholm,0115,Vallentuna,80-89,1184,1083,419,"0,914696","0,353885"
01,Stockholm,0115,Vallentuna,90 eller äldre,194,171,114,"0,881443","0,587629"
01,Stockholm,0117,Österåker,18-29,5697,308,172,"0,054064","0,030191"
01,Stockholm,0117,Österåker,30-39,5533,365,215,"0,065968","0,038858"
01,Stockholm,0117,Österåker,40-49,6795,514,292,"0,075644","0,042973"
01,Stockholm,0117,Österåker,50-59,6637,699,377,"0,105319","0,056803"
01,Stockholm,0117,Österåker,60-69,4334,2155,265,"0,497231","0,061144"
01,Stockholm,0117,Österåker,70-79,4525,3316,313,"0,732818","0,069171"
01,Stockholm,0117,Österåker,80-89,1678,1341,509,"0,799166","0,303337"
01,Stockholm,0117,Österåker,90 eller äldre,313,285,222,"0,910543","0,709265"
01,Stockholm,0120,Värmdö,18-29,5507,240,120,"0,043581","0,021790"
01,Stockholm,0120,Värmdö,30-39,5396,277,146,"0,051334","0,027057"
01,Stockholm,0120,Värmdö,40-49,6828,427,227,"0,062537","0,033245"
01,Stockholm,0120,Värmdö,50-59,6564,578,287,"0,088056","0,043723"
01,Stockholm,0120,Värmdö,60-69,4559,2010,256,"0,440886","0,056153"
01,Stockholm,0120,Värmdö,70-79,4201,2306,311,"0,548917","0,074030"
01,Stockholm,0120,Värmdö,80-89,1354,1239,597,"0,915066","0,440916"
01,Stockholm,0120,Värmdö,90 eller äldre,235,212,169,"0,902128","0,719149"
01,Stockholm,0123,Järfälla,18-29,12187,418,197,"0,034299","0,016165"
01,Stockholm,0123,Järfälla,30-39,12229,536,295,"0,043830","0,024123"
01,Stockholm,0123,Järfälla,40-49,11281,783,443,"0,069409","0,039270"
01,Stockholm,0123,Järfälla,50-59,9704,1041,536,"0,107275","0,055235"
01,Stockholm,0123,Järfälla,60-69,7069,3431,405,"0,485359","0,057292"
01,Stockholm,0123,Järfälla,70-79,6435,4475,501,"0,695416","0,077855"
01,Stockholm,0123,Järfälla,80-89,3010,2609,986,"0,866777","0,327575"
01,Stockholm,0123,Järfälla,90 eller äldre,581,490,365,"0,843373","0,628227"
01,Stockholm,0125,Ekerö,18-29,2847,119,74,"0,041798","0,025992"
01,Stockholm,0125,Ekerö,30-39,3101,164,93,"0,052886","0,029990"
01,Stockholm,0125,Ekerö,40-49,4591,265,161,"0,057722","0,035069"
01,Stockholm,0125,Ekerö,50-59,4182,430,233,"0,102822","0,055715"
01,Stockholm,0125,Ekerö,60-69,2687,1325,190,"0,493115","0,070711"
01,Stockholm,0125,Ekerö,70-79,2586,1800,300,"0,696056","0,116009"
01,Stockholm,0125,Ekerö,80-89,1041,960,479,"0,922190","0,460134"
01,Stockholm,0125,Ekerö,90 eller äldre,165,155,122,"0,939394","0,739394"
01,Stockholm,0126,Huddinge,18-29,16795,564,299,"0,033581","0,017803"
01,Stockholm,0126,Huddinge,30-39,16516,812,418,"0,049164","0,025309"
01,Stockholm,0126,Huddinge,40-49,16929,1103,595,"0,065154","0,035147"
01,Stockholm,0126,Huddinge,50-59,14582,1391,751,"0,095392","0,051502"
01,Stockholm,0126,Huddinge,60-69,9481,3818,575,"0,402700","0,060648"
01,Stockholm,0126,Huddinge,70-79,7459,5439,759,"0,729186","0,101756"
01,Stockholm,0126,Huddinge,80-89,3050,2692,1556,"0,882623","0,510164"
01,Stockholm,0126,Huddinge,90 eller äldre,584,496,424,"0,849315","0,726027"
01,Stockholm,0127,Botkyrka,18-29,14900,501,270,"0,033624","0,018121"
01,Stockholm,0127,Botkyrka,30-39,13704,641,340,"0,046775","0,024810"
01,Stockholm,0127,Botkyrka,40-49,13826,1004,617,"0,072617","0,044626"
01,Stockholm,0127,Botkyrka,50-59,11802,1152,671,"0,097611","0,056855"
01,Stockholm,0127,Botkyrka,60-69,8304,2702,543,"0,325385","0,065390"
01,Stockholm,0127,Botkyrka,70-79,6578,4607,1527,"0,700365","0,232137"
01,Stockholm,0127,Botkyrka,80-89,2502,2131,1793,"0,851719","0,716627"
01,Stockholm,0127,Botkyrka,90 eller äldre,430,357,314,"0,830233","0,730233"
01,Stockholm,0128,Salem,18-29,2156,92,56,"0,042672","0,025974"
01,Stockholm,0128,Salem,30-39,2048,142,86,"0,069336","0,041992"
01,Stockholm,0128,Salem,40-49,2455,207,139,"0,084318","0,056619"
01,Stockholm,0128,Salem,50-59,2234,227,149,"0,101611","0,066697"
01,Stockholm,0128,Salem,60-69,1307,560,93,"0,428462","0,071155"
01,Stockholm,0128,Salem,70-79,1505,1144,361,"0,760133","0,239867"
01,Stockholm,0128,Salem,80-89,719,682,643,"0,948540","0,894298"
01,Stockholm,0128,Salem,90 eller äldre,127,109,100,"0,858268","0,787402"
01,Stockholm,0136,Haninge,18-29,14424,505,284,"0,035011","0,019689"
01,Stockholm,0136,Haninge,30-39,14165,721,392,"0,050900","0,027674"
01,Stockholm,0136,Haninge,40-49,13209,890,501,"0,067378","0,037929"
01,Stockholm,0136,Haninge,50-59,11462,1181,658,"0,103036","0,057407"
01,Stockholm,0136,Haninge,60-69,7723,3504,484,"0,453710","0,062670"
01,Stockholm,0136,Haninge,70-79,7332,5447,764,"0,742908","0,104201"
01,Stockholm,0136,Haninge,80-89,2721,2326,1177,"0,854833","0,432562"
01,Stockholm,0136,Haninge,90 eller äldre,408,350,306,"0,857843","0,750000"
01,Stockholm,0138,Tyresö,18-29,6401,264,145,"0,041244","0,022653"
01,Stockholm,0138,Tyresö,30-39,5863,354,222,"0,060379","0,037865"
01,Stockholm,0138,Tyresö,40-49,7180,514,305,"0,071588","0,042479"
01,Stockholm,0138,Tyresö,50-59,7041,677,364,"0,096151","0,051697"
01,Stockholm,0138,Tyresö,60-69,4156,1937,207,"0,466073","0,049808"
01,Stockholm,0138,Tyresö,70-79,4049,2958,342,"0,730551","0,084465"
01,Stockholm,0138,Tyresö,80-89,1919,1641,780,"0,855133","0,406462"
01,Stockholm,0138,Tyresö,90 eller äldre,342,290,209,"0,847953","0,611111"
01,Stockholm,0139,Upplands-Bro,18-29,4364,146,87,"0,033456","0,019936"
01,Stockholm,0139,Upplands-Bro,30-39,4422,229,134,"0,051787","0,030303"
01,Stockholm,0139,Upplands-Bro,40-49,4256,311,185,"0,073073","0,043468"
01,Stockholm,0139,Upplands-Bro,50-59,3590,376,239,"0,104735","0,066574"
01,Stockholm,0139,Upplands-Bro,60-69,2601,1094,186,"0,420607","0,071511"
01,Stockholm,0139,Upplands-Bro,70-79,2458,1739,180,"0,707486","0,073230"
01,Stockholm,0139,Upplands-Bro,80-89,816,713,287,"0,873775","0,351716"
01,Stockholm,0139,Upplands-Bro,90 eller äldre,159,140,98,"0,880503","0,616352"
01,Stockholm,0140,Nykvarn,18-29,1290,42,27,"0,032558","0,020930"
