Vecka,Year,Region,AntalVaccinerade,AndelVaccinerade,Vaccinationsstatus
52,2020,| Sverige |,2252,"0,000275",Minst 1 dos
52,2020,| Sverige |,0,"0,000000",Färdigvaccinerade
52,2020,Stockholm,286,"0,000153",Minst 1 dos
52,2020,Stockholm,0,"0,000000",Färdigvaccinerade
52,2020,Uppsala,8,"0,000026",Minst 1 dos
52,2020,Uppsala,0,"0,000000",Färdigvaccinerade
52,2020,Södermanland,116,"0,000496",Minst 1 dos
52,2020,Södermanland,0,"0,000000",Färdigvaccinerade
52,2020,Östergötland,210,"0,000567",Minst 1 dos
52,2020,Östergötland,0,"0,000000",Färdigvaccinerade
52,2020,Jönköping,43,"0,000151",Minst 1 dos
52,2020,Jönköping,0,"0,000000",Färdigvaccinerade
52,2020,Kronoberg,29,"0,000183",Minst 1 dos
52,2020,Kronoberg,0,"0,000000",Färdigvaccinerade
52,2020,Kalmar,0,"0,000000",Minst 1 dos
52,2020,Kalmar,0,"0,000000",Färdigvaccinerade
52,2020,Gotland,0,"0,000000",Minst 1 dos
52,2020,Gotland,0,"0,000000",Färdigvaccinerade
52,2020,Blekinge,179,"0,001410",Minst 1 dos
52,2020,Blekinge,0,"0,000000",Färdigvaccinerade
52,2020,Skåne,295,"0,000271",Minst 1 dos
52,2020,Skåne,0,"0,000000",Färdigvaccinerade
52,2020,Halland,46,"0,000174",Minst 1 dos
52,2020,Halland,0,"0,000000",Färdigvaccinerade
52,2020,Västra Götaland,281,"0,000205",Minst 1 dos
52,2020,Västra Götaland,0,"0,000000",Färdigvaccinerade
52,2020,Värmland,43,"0,000189",Minst 1 dos
52,2020,Värmland,0,"0,000000",Färdigvaccinerade
52,2020,Örebro,244,"0,001010",Minst 1 dos
52,2020,Örebro,0,"0,000000",Färdigvaccinerade
52,2020,Västmanland,24,"0,000110",Minst 1 dos
52,2020,Västmanland,0,"0,000000",Färdigvaccinerade
52,2020,Dalarna,189,"0,000825",Minst 1 dos
52,2020,Dalarna,0,"0,000000",Färdigvaccinerade
52,2020,Gävleborg,196,"0,000852",Minst 1 dos
52,2020,Gävleborg,0,"0,000000",Färdigvaccinerade
52,2020,Västernorrland,0,"0,000000",Minst 1 dos
52,2020,Västernorrland,0,"0,000000",Färdigvaccinerade
52,2020,Jämtland,63,"0,000602",Minst 1 dos
52,2020,Jämtland,0,"0,000000",Färdigvaccinerade
